id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
55,101037-001__B_4__15d949ee49274e2b868cfcc0119acd64.png,/images/products/101037-001__B_4__15d949ee49274e2b868cfcc0119acd64.png,false,11,,local,,959730,,3329b13f274b4994b6dc63dd7877f7e5
56,101037-001__B_5__1d488c47d72c4563851ddf190155a059.png,/images/products/101037-001__B_5__1d488c47d72c4563851ddf190155a059.png,false,11,,local,,1288487,,a1ff8d307f85929886abc645471ef638
57,101037-001__D_100__bafab0ec2ab94820a116d2e4c1b1f093.png,/images/products/101037-001__D_100__bafab0ec2ab94820a116d2e4c1b1f093.png,false,11,,local,,1050361,,5430ed4520a2d99d8da8caa507c89193
58,101037-001__S_0__c295582784ad4a6da3dc6766406960c8.png,/images/products/101037-001__S_0__c295582784ad4a6da3dc6766406960c8.png,true,11,,local,,905850,,a8c3e9cd8f4f6662c352020c505868f2
59,101037-410__B_1__a538cf07dcd34fb58d362fb291cfca93.png,/images/products/101037-410__B_1__a538cf07dcd34fb58d362fb291cfca93.png,false,12,,local,,1046718,,04e593a14446ddde9888f37832bffb68
60,101037-410__B_2__d9c2f0e89cf6458b9d031ed865c89d54.png,/images/products/101037-410__B_2__d9c2f0e89cf6458b9d031ed865c89d54.png,false,12,,local,,1155164,,e50bfa8bbb3b93a9794aa107ed9bf0da
61,101037-410__D_100__0b207d4075f24ab29583f353f2e6e0b6.png,/images/products/101037-410__D_100__0b207d4075f24ab29583f353f2e6e0b6.png,false,12,,local,,1050454,,b4cce37328a8b0b76d1f122d9a5f45c4
62,101037-410__S_0__e254ce3f2d5c4e27829a7170da1bb8be.png,/images/products/101037-410__S_0__e254ce3f2d5c4e27829a7170da1bb8be.png,true,12,,local,,960695,,d816181e4481e739f9824ff6b6a12823
63,101038-001__B_1__ddbb6582971e4264b3325fa0442665a3.png,/images/products/101038-001__B_1__ddbb6582971e4264b3325fa0442665a3.png,false,13,,local,,288903,,29c43c4cc406dd30cae5bad7069d6387
64,101038-001__B_2__9b883ccd2d48435386beb1b0212dc006.png,/images/products/101038-001__B_2__9b883ccd2d48435386beb1b0212dc006.png,false,13,,local,,271658,,ff2e9258d7ac7060bb5e7f2391f48cf3
65,101038-001__B_3__95c5039030784b64b5ab9bdf33673421.png,/images/products/101038-001__B_3__95c5039030784b64b5ab9bdf33673421.png,false,13,,local,,297618,,03fd394077e06e71322161bc979555a5
66,101038-001__D_100__9bcc12e2445b467f9f931cb9ad5a923a.png,/images/products/101038-001__D_100__9bcc12e2445b467f9f931cb9ad5a923a.png,false,13,,local,,297604,,a8477acb5e1104e614242e6a58762b46
67,101038-001__S_0__fdb4aa97a2d44c03a6295d3bfd4ef862.png,/images/products/101038-001__S_0__fdb4aa97a2d44c03a6295d3bfd4ef862.png,true,13,,local,,213167,,b13ba88f3e33e396c3f1d78753c14ba6
68,101038-410__B_1__7b6d54aa1a364a5eaceea4064ec4485f.png,/images/products/101038-410__B_1__7b6d54aa1a364a5eaceea4064ec4485f.png,false,14,,local,,287628,,14f16e649c627f574aa6fa5121b373be
69,101038-410__B_2__3498294bbe844d0fb45a5cb6bb0eb77b.png,/images/products/101038-410__B_2__3498294bbe844d0fb45a5cb6bb0eb77b.png,false,14,,local,,281231,,a1406dbc475adf44a47766848585f6da
70,101038-410__D_100__8841568c3c44442892e31c01e03ea4ef.png,/images/products/101038-410__D_100__8841568c3c44442892e31c01e03ea4ef.png,false,14,,local,,294631,,4741113b37635125900db38fd13d7923
71,101038-410__S_0__44d6d1ca71164555b9ad7e490acb772a.png,/images/products/101038-410__S_0__44d6d1ca71164555b9ad7e490acb772a.png,true,14,,local,,230795,,7c82de892913e0513fdf8e8f8fc1c0ae
